!PID_CONTROLLER_SWEEP!
nCycle 5,TEMP_COOL 31.00, TEMP_SET 32.00, time_till_stop 1800000
|0|Kp:0.010000 Ki:0.000000 Ki_max:0.000000
|1|Kp:0.100000 Ki:0.000000 Ki_max:0.000000
|2|Kp:1.000000 Ki:0.000000 Ki_max:0.000000
|3|Kp:5.000000 Ki:0.000000 Ki_max:0.000000
|4|Kp:10.000000 Ki:0.000000 Ki_max:0.000000

Timestamp,Temperatur
6205970,28.673883,
6207061,28.676783,
6208153,28.716486,
6209245,28.655603,
6210334,28.710230,
6211426,28.638086,
6212518,28.673334,
6213609,28.678400,
6214701,28.662958,
6215797,28.677546,
6216889,28.657007,
6217981,28.661982,
6219073,28.664667,
6220164,28.586145,
6221259,28.657434,
6222350,28.644037,
6223442,28.642725,
6224531,28.676996,
6225628,28.643579,
6226719,28.654627,
6227811,28.650202,
6228903,28.640253,
6229995,28.653009,
6231086,28.569117,
6232178,28.658289,
6233270,28.635492,
6234366,28.624018,
6235458,28.695612,
6236550,28.616327,
6237639,28.687403,
6238726,28.623468,
6239818,28.635798,
6240910,28.586847,
6242002,28.646723,
6243093,28.619806,
6244190,28.621302,
6245281,28.681238,
6246373,28.600214,
6247465,28.627131,
6248559,28.626703,
6249651,28.573969,
6250742,28.671076,
6251832,28.579950,
6252923,28.623682,
6254020,28.681757,
6255111,28.595545,
6256203,28.607996,
6257295,28.627924,
6258387,28.591211,
6259478,28.636988,
6260570,28.596643,
6261662,28.599878,
6262758,28.629969,
6263850,28.586237,
6264941,28.593256,
6266031,28.587763,
6267123,28.595209,
6268214,28.628778,
6269306,28.569544,
6270398,28.595423,
6271489,28.597712,
6272586,28.574854,
6273678,28.584589,
6274769,28.592829,
6275861,28.585443,
6276955,28.599451,
6278047,28.573664,
6279139,28.599085,
6280228,28.568018,
6281320,28.577662,
6282416,28.589746,
6283508,28.572016,
6284599,28.537287,
6285691,28.584162,
6286783,28.527765,
6287875,28.575586,
6288966,28.557215,
6290058,28.531763,
6291154,28.587091,
6292246,28.530573,
6293338,28.584803,
6294427,28.525599,
6295519,28.563715,
6296611,28.559473,
6297702,28.551691,
6298794,28.568232,
6299886,28.493464,
6300982,28.537073,
6302074,28.529383,
6303166,28.511316,
6304257,28.581324,
6305347,28.479944,
6306439,28.571375,
6307528,28.503534,
6308616,28.529383,
6309708,28.468775,
6310804,28.521814,
6311896,28.525049,
6312987,28.455469,
6314079,28.547449,
6315171,28.489557,
6316263,28.517176,
6317354,28.532312,
6318446,28.515863,
6319542,28.507105,
6320634,28.524317,
6321724,28.517481,
6322815,28.489222,
6323907,28.459681,
6324999,28.517054,
6326091,28.508722,
6327182,28.499964,
6328274,28.517817,
6329370,28.477320,
6330462,28.486536,
6331554,28.523767,
6332648,28.455896,
6333739,28.483393,
6334831,28.498011,
6335920,28.501795,
6337012,28.528833,
