Timestamp,Temperatur,Power
3736044,25.545527,0.503868
3737120,25.519220,0.504366
3738196,25.477961,0.504828
3739275,25.513269,0.502740
3740351,25.521845,0.512344
3741425,25.521875,0.504037
3742501,25.517786,0.504835
3743577,25.503595,0.503656
3744658,25.484003,0.505062
3745733,25.525599,0.510894
3746810,25.554438,0.505553
3747886,25.530756,0.504769
3748962,25.523737,0.505106
3750038,25.503809,0.503333
3751114,25.529108,0.505319
3752191,25.563257,0.504095
3753271,25.552668,0.505670
3754347,25.543756,0.504571
3755421,25.515253,0.506110
3756497,25.532099,0.503626
3757573,25.545069,0.504579
3758649,25.579523,0.504022
3759728,25.562342,0.505143
3760804,25.552118,0.504410
3761880,25.518793,0.504703
3762961,25.520746,0.510264
3764037,25.548151,0.503685
3765113,25.554224,0.504506
3766189,25.580622,0.504381
3767265,25.559504,0.508044
3768339,25.551020,0.505282
3769410,25.613184,0.504088
3770487,25.563562,0.510908
3771562,25.533075,0.502483
3772643,25.529108,0.504733
3773719,25.559839,0.503297
3774795,25.577539,0.504623
3775872,25.571955,0.504088
3776948,25.567102,0.506022
3778024,25.520655,0.504777
3779102,25.569849,0.503495
3780178,25.575556,0.505084
3781259,25.575129,0.504623
3782332,25.578852,0.508667
3783408,25.572809,0.504418
3784484,25.566889,0.504388
3785560,25.581171,0.503429
3786636,25.624933,0.505297
3787712,25.590631,0.504996
3788788,25.564447,0.502549
3789864,25.586573,0.504220
3790945,25.579981,0.505070
3792021,25.596796,0.504249
3793097,25.646357,0.510645
3794173,25.604486,0.505582
3795249,25.564997,0.503751
3796323,25.602503,0.505231
3797399,25.634485,0.508527
3798482,25.606562,0.504059
3799558,25.639093,0.503194
3800638,25.658564,0.505487
3801714,25.614161,0.505209
3802790,25.575800,0.506044
3803866,25.610102,0.503582
3804942,25.613184,0.509165
3806018,25.660669,0.503832
3807095,25.621515,0.505465
3808170,25.577875,0.504396
3809251,25.597010,0.502982
3810324,25.615686,0.510593
3811400,25.646479,0.504850
3812477,25.628107,0.503978
3813552,25.627344,0.504425
3814629,25.579859,0.505033
3815705,25.620417,0.505846
3816781,25.638880,0.503941
3817856,25.638117,0.502960
3818939,25.655390,0.503773
3820016,25.640863,0.506923
3821092,25.636133,0.504198
3822168,25.601862,0.506938
3823244,25.632746,0.505260
3824318,25.668573,0.505092
3825394,25.642084,0.503516
3826470,25.640314,0.504835
3827546,25.589533,0.503919
3828627,25.611536,0.503956
3829703,25.641626,0.505619
3830779,25.653955,0.504564
3831855,25.679224,0.511429
3832931,25.659998,0.506264
3834007,25.627253,0.504271
3835083,25.644709,0.504256
3836159,25.657038,0.503363
3837233,25.659876,0.505590
3838312,25.660425,0.504000
3839388,25.655817,0.503429
3840464,25.625483,0.504498
3841540,25.662622,0.514513
3842616,25.698786,0.503714
3843692,25.672083,0.504901
3844768,25.667261,0.504652
3845845,25.626368,0.504879
3846925,25.638239,0.504081
3848001,25.669336,0.505773
3849077,25.677240,0.503502
3850154,25.728907,0.506476
3851227,25.677149,0.504799
3852303,25.626581,0.504542
3853380,25.677240,0.504799
3854456,25.700342,0.506190
3855532,25.694513,0.504366
3856613,25.729548,0.505839
3857691,25.696589,0.502557
3858767,25.690424,0.508857
3859843,25.649439,0.504103
3860920,25.690546,0.505048
3861996,25.705378,0.504901
3863072,25.715815,0.505641
3864148,25.704279,0.505231
3865222,25.692743,0.504806
3866302,25.656031,0.504073
3867378,25.697260,0.504374
3868455,25.735163,0.504396
3869531,25.710993,0.505538
3870607,25.704737,0.502176
3871683,25.669458,0.504498
3872759,25.709986,0.504161
3873835,25.741632,0.511414
3874916,25.746363,0.509421
3875992,25.718348,0.504850
3877071,25.725489,0.503582
3878147,25.694849,0.505575
3879221,25.717585,0.505905
3880303,25.717920,0.504923
3881379,25.725489,0.509392
3882455,25.769098,0.503810
3883531,25.731409,0.503766
3884612,25.730433,0.504901
3885688,25.710321,0.503919
3886764,25.725153,0.503890
3887840,25.735926,0.508418
3888917,25.773493,0.504901
3889993,25.738886,0.505502
3891069,25.732630,0.504689
3892145,25.710779,0.505846
3893219,25.742517,0.504476
3894299,25.742517,0.504366
3895376,25.789972,0.505729
3896452,25.750849,0.505473
3897530,25.743830,0.504894
3898606,25.718683,0.514278
3899683,25.745264,0.505590
3900759,25.757685,0.504183
3901835,25.806696,0.505348
3902915,25.792597,0.503626
3903992,25.757685,0.504550
3905068,25.755365,0.503077
3906141,25.751184,0.504176
3907213,25.814600,0.505582
3908290,25.770197,0.504608
3909366,25.749414,0.503282
3910442,25.750757,0.504337
3911518,25.768091,0.505297
3912599,25.765375,0.504388
3913675,25.786982,0.509604
3914751,25.778864,0.503670
3915827,25.778101,0.504425
3916906,25.773798,0.504300
3917982,25.729670,0.505077
3919058,25.771509,0.506982
3920132,25.831415,0.504579
3921208,25.789423,0.505216
3922289,25.786463,0.504198
3923365,25.783686,0.505714
3924441,25.738337,0.504901
3925517,25.782740,0.503231
3926593,25.807642,0.503421
3927670,25.806269,0.506059
3928746,25.799646,0.503524
3929822,25.771296,0.513795
3930903,25.789667,0.510212
3931979,25.757776,0.504513
3933055,25.792597,0.503355
3934129,25.853693,0.504007
3935205,25.806910,0.508183
3936283,25.804621,0.505451
3937360,25.775232,0.503634
3938436,25.806910,0.505348
3939512,25.810419,0.504381
3940593,25.809534,0.504117
3941669,25.843683,0.504674
3942745,25.818018,0.505802
3943821,25.816370,0.504344
3944897,25.767542,0.504762
3945973,25.812067,0.503810
3947049,25.834681,0.510989
3948123,25.828119,0.505157
3949199,25.802973,0.505531
3950280,25.818445,0.504703
3951356,25.819971,0.505502
3952432,25.827448,0.509040
3953508,25.871912,0.504681
3954584,25.834894,0.504374
3955660,25.815699,0.504850
3956743,25.834467,0.504901
3957819,25.805384,0.503846
3958900,25.809778,0.503597
3959976,25.833277,0.508205
3961052,25.861475,0.504256
3962126,25.845667,0.504571
3963202,25.816034,0.504894
3964278,25.835901,0.511363
3965354,25.854120,0.502593
3966430,25.854242,0.505436
3967506,25.852594,0.504777
3968587,25.851038,0.506212
3969663,25.818323,0.503722
3970739,25.849939,0.505055
3971815,25.876947,0.505245
3972891,25.861689,0.505180
3973967,25.861353,0.505209
3975041,25.858942,0.505487
3976115,25.883875,0.504366
3977191,25.874414,0.502652
3978272,25.889124,0.503582
3979348,25.869043,0.504527
3980424,25.835779,0.505165
3981500,25.868280,0.505619
3982576,25.876520,0.504037
3983653,25.923243,0.505040
3984729,25.881891,0.510344
3985805,25.844904,0.505538
3986886,25.858057,0.503223
3987962,25.877924,0.505626
3989036,25.915125,0.505626
3990112,25.889338,0.508608
3991188,25.883753,0.504007
3992264,25.855768,0.505538
3993340,25.886164,0.505436
3994416,25.919092,0.503802
3995495,25.940363,0.504308
3996576,25.930506,0.504586
3997652,25.900873,0.503839
3998728,25.887384,0.504410
3999804,25.889002,0.503692
4000880,25.895594,0.505026
4001956,25.930719,0.508139
4003030,25.904169,0.505956
4004106,25.874964,0.503927
4005183,25.901636,0.505011
4006275,25.959009,0.507634
4007357,25.933344,0.508842
4008433,25.912500,0.503495
4009510,25.909876,0.505011
4010586,25.871241,0.502169
4011662,25.907770,0.504762
4012738,25.929834,0.506139
4013814,25.921045,0.505355
4014897,25.953547,0.504425
4015973,25.925348,0.504799
4017047,25.890894,0.503480
4018123,25.917871,0.505121
4019199,25.929621,0.505157
4020275,25.936853,0.505524
4021352,25.930384,0.504125
4022428,25.896051,0.505451
4023504,25.925226,0.508615
4024593,25.944880,0.503538
4025669,25.905481,0.503443
4026745,25.927759,0.510623
4027821,25.939173,0.503839
4028898,25.990717,0.503575
4029974,25.952539,0.504000
4031048,25.916559,0.510557
4032124,25.941339,0.504608
4033200,25.978754,0.504220
4034283,25.953302,0.504132
4035363,25.958460,0.504659
4036441,25.985346,0.501817
4037519,25.986536,0.505443
4038597,25.959681,0.503824
4039676,25.967340,0.505890
4040754,25.946192,0.503048
4041832,25.908777,0.504513
4042915,25.941584,0.503744
4043990,25.963068,0.510440
4045064,26.001123,0.504615
4046142,25.969660,0.505289
4047220,25.975153,0.502330
4048298,25.968775,0.504484
4049377,25.943232,0.503487
4050455,25.965387,0.507538
4051533,25.974695,0.508147
4052615,25.969660,0.504066
4053693,25.971521,0.509092
4054774,25.975031,0.511927
4055852,25.988520,0.503861
4056930,26.012201,0.505062
4058006,25.992243,0.504234
4059084,25.986444,0.506095
4060162,25.963617,0.504396
4061240,25.954950,0.504051
4062323,25.957605,0.502960
4063401,25.969751,0.504908
4064485,25.988947,0.503414
4065563,25.960230,0.504747
4066641,25.994562,0.504630
4067719,25.994104,0.504886
4068797,26.001459,0.511876
4069875,26.022730,0.503993
4070958,26.006708,0.508864
4072034,26.054438,0.504557
4073112,26.006617,0.502637
4074192,26.010126,0.502733
4075270,26.008051,0.503289
4076349,26.006830,0.504982
4077427,25.981714,0.503685
4078505,26.009027,0.504864
4079583,26.006830,0.505773
4080665,26.008905,0.503736
4081743,26.013849,0.504637
4082822,26.021204,0.507846
4083900,26.040186,0.504315
4084978,26.068140,0.503919
4086053,26.033716,0.503670
4087132,26.024714,0.504344
4088210,25.998163,0.505985
4089288,25.978876,0.504374
4090370,26.007807,0.503729
4091448,25.981928,0.505297
4092526,26.033075,0.502410
4093605,26.030085,0.509106
4094685,26.026697,0.508066
4095763,26.039545,0.505114
4096841,26.075495,0.503956
4097919,26.075617,0.505582
4099002,26.073725,0.503897
4100077,26.047205,0.503824
4101155,26.053034,0.504462
4102233,26.036463,0.505788
4103311,26.005060,0.503150
4104389,26.046015,0.505978
4105467,26.046320,0.510315
4106545,26.055750,0.505392
4107623,26.082392,0.503817
4108706,26.059046,0.504081
4109784,26.084375,0.504322
4110862,26.116358,0.504440
4111940,26.068476,0.504293
4113016,26.059381,0.505143
4114105,26.083155,0.503678
4115183,26.107264,0.503883
4116261,26.077997,0.503055
4117339,26.074274,0.505451
4118422,26.073847,0.503941
4119500,26.077356,0.504066
4120578,26.071558,0.503663
4121656,26.044580,0.503590
4122733,26.071772,0.504557
4123812,26.074396,0.512410
4124889,26.084925,0.504176
4125967,26.116480,0.503311
4127043,26.088434,0.504095
4128126,26.137079,0.504381
4129203,26.094110,0.503128
4130281,26.092798,0.504212
4131359,26.084467,0.503810
4132437,26.055445,0.504689
4133518,26.061792,0.505040
4134596,26.075159,0.509121
4135674,26.090845,0.503985
4136756,26.046656,0.504806
4137834,26.095972,0.506630
4138912,26.095667,0.504220
4139990,26.105402,0.503912
4141066,26.138727,0.504579
4142144,26.106714,0.505092
4143222,26.109583,0.504278
4144300,26.105280,0.503941
4145378,26.080194,0.510769
4146461,26.106714,0.503678
4147539,26.086023,0.509136
4148617,26.087336,0.505319
4149695,26.114069,0.503443
4150773,26.119867,0.503377
4151851,26.139917,0.504681
4152931,26.142664,0.505033
4154010,26.166437,0.505795
4155085,26.134119,0.505026
4156168,26.136652,0.503187
4157246,26.134882,0.504960
4158324,26.136072,0.505832
4159402,26.097620,0.507597
4160480,26.103540,0.504513
4161558,26.135981,0.504718
4162636,26.136194,0.504908
4163714,26.157251,0.503436
4164797,26.140589,0.505780
4165875,26.164026,0.504322
4166953,26.193811,0.504894
4168031,26.153193,0.503480
4169107,26.132685,0.504952
4170185,26.102228,0.511223
4171263,26.144648,0.504733
4172341,26.144861,0.504740
4173421,26.150873,0.504930
4174504,26.152643,0.503165
4175582,26.153070,0.503114
4176660,26.162836,0.505597
4177738,26.194574,0.504366
4178816,26.164454,0.503714
4179894,26.169062,0.505465
4180972,26.163904,0.503978
4182048,26.141016,0.513055
4183122,26.180780,0.503451
4184204,26.167322,0.504960
4185282,26.175409,0.503194
4186361,26.209162,0.503978
4187439,26.179255,0.503355
4188517,26.179041,0.503172
4189595,26.176966,0.504447
4190673,26.151758,0.504462
4191751,26.143091,0.508073
4192836,26.178919,0.504718
4193914,26.152735,0.505297
4194992,26.150019,0.509670
4196068,26.183954,0.503502
4197146,26.215265,0.503729
4198224,26.236078,0.504799
4199302,26.195581,0.503714
4200380,26.191401,0.503201
4201458,26.176844,0.503297
4202540,26.193720,0.503011
4203618,26.175959,0.504095
